seqid	taxid	species
11123	5476	candida albicans
11126	5476	candida albicans
11133	5476	candida albicans
11134	5476	candida albicans
11140	5476	candida albicans
11143	5476	candida albicans
11145	5476	candida albicans
11146	5476	candida albicans
1115	5476	candida albicans
11155	5476	candida albicans
11156	5476	candida albicans
11160	5476	candida albicans
11162	5476	candida albicans
11163	5476	candida albicans
11164	5476	candida albicans
11166	5476	candida albicans
11173	5476	candida albicans
11175	5476	candida albicans
11179	5476	candida albicans
11180	5476	candida albicans
11182	5476	candida albicans
11184	5476	candida albicans
11189	5476	candida albicans
11193	5476	candida albicans
11196	5476	candida albicans
11199	5476	candida albicans
1120	5476	candida albicans
11200	5476	candida albicans
11201	5476	candida albicans
11203	5476	candida albicans
11208	5476	candida albicans
11210	5476	candida albicans
11212	5476	candida albicans
11216	5476	candida albicans
11220	5476	candida albicans
11221	5476	candida albicans
11222	5476	candida albicans
11225	5476	candida albicans
1123	5476	candida albicans
11230	5476	candida albicans
11233	5476	candida albicans
11235	5476	candida albicans
11236	5476	candida albicans
11239	5476	candida albicans
1124	5476	candida albicans
11240	5476	candida albicans
11245	5476	candida albicans
11247	5476	candida albicans
11248	5476	candida albicans
1125	5476	candida albicans
11253	5476	candida albicans
11254	5476	candida albicans
11255	5476	candida albicans
11257	5476	candida albicans
1126	5476	candida albicans
11260	5476	candida albicans
11265	5476	candida albicans
11266	5476	candida albicans
1127	5476	candida albicans
11270	5476	candida albicans
11275	5476	candida albicans
11276	5476	candida albicans
1128	5476	candida albicans
11287	5476	candida albicans
1129	5476	candida albicans
11290	5476	candida albicans
11291	5476	candida albicans
11292	5476	candida albicans
11295	5476	candida albicans
11296	5476	candida albicans
11297	5476	candida albicans
11299	5476	candida albicans
113	5476	candida albicans
11303	5476	candida albicans
11304	5476	candida albicans
11306	5476	candida albicans
11307	5476	candida albicans
11309	5476	candida albicans
1131	5476	candida albicans
11313	5476	candida albicans
11319	5476	candida albicans
1132	5476	candida albicans
11321	5476	candida albicans
1133	5476	candida albicans
11332	5476	candida albicans
11335	5476	candida albicans
11337	5476	candida albicans
11345	5476	candida albicans
11347	5476	candida albicans
11350	5476	candida albicans
11356	5476	candida albicans
11359	5476	candida albicans
11364	5476	candida albicans
11366	5476	candida albicans
11369	5476	candida albicans
11373	5476	candida albicans
11374	5476	candida albicans
11375	5476	candida albicans
1138	5476	candida albicans
11381	5476	candida albicans
11382	5476	candida albicans
11386	5476	candida albicans
11388	5476	candida albicans
11389	5476	candida albicans
11396	5476	candida albicans
114	5476	candida albicans
1140	5476	candida albicans
11405	5476	candida albicans
11412	5476	candida albicans
11413	5476	candida albicans
11419	5476	candida albicans
11422	5476	candida albicans
11423	5476	candida albicans
11424	5476	candida albicans
11425	5476	candida albicans
11427	5476	candida albicans
11430	5476	candida albicans
11431	5476	candida albicans
11435	5476	candida albicans
11436	5476	candida albicans
11438	5476	candida albicans
11439	5476	candida albicans
1144	5476	candida albicans
11441	5476	candida albicans
11444	5476	candida albicans
11455	5476	candida albicans
11457	5476	candida albicans
11458	5476	candida albicans
11461	5476	candida albicans
11465	5476	candida albicans
11466	5476	candida albicans
11468	5476	candida albicans
1147	5476	candida albicans
11470	5476	candida albicans
11471	5476	candida albicans
11474	5476	candida albicans
11476	5476	candida albicans
11477	5476	candida albicans
11478	5476	candida albicans
1148	5476	candida albicans
11481	5476	candida albicans
11484	5476	candida albicans
11485	5476	candida albicans
11486	5476	candida albicans
11488	5476	candida albicans
11489	5476	candida albicans
11494	5476	candida albicans
11495	5476	candida albicans
11500	5476	candida albicans
11502	5476	candida albicans
11504	5476	candida albicans
11506	5476	candida albicans
11509	5476	candida albicans
11515	5476	candida albicans
11516	5476	candida albicans
11518	5476	candida albicans
1152	5476	candida albicans
11531	5476	candida albicans
11536	5476	candida albicans
11540	5476	candida albicans
11542	5476	candida albicans
11545	5476	candida albicans
11546	5476	candida albicans
1155	5476	candida albicans
11551	5476	candida albicans
11552	5476	candida albicans
11557	5476	candida albicans
11559	5476	candida albicans
1156	5476	candida albicans
11560	5476	candida albicans
11561	5476	candida albicans
11562	5476	candida albicans
11563	5476	candida albicans
11564	5476	candida albicans
11566	5476	candida albicans
11569	5476	candida albicans
1157	5476	candida albicans
11571	5476	candida albicans
11576	5476	candida albicans
11578	5476	candida albicans
11579	5476	candida albicans
11585	5476	candida albicans
11586	5476	candida albicans
11588	5476	candida albicans
11589	5476	candida albicans
11590	5476	candida albicans
11592	5476	candida albicans
11593	5476	candida albicans
11597	5476	candida albicans
11601	5476	candida albicans
11603	5476	candida albicans
11604	5476	candida albicans
11605	5476	candida albicans
11607	5476	candida albicans
11608	5476	candida albicans
1161	5476	candida albicans
11610	5476	candida albicans
11615	5476	candida albicans
11616	5476	candida albicans
11618	5476	candida albicans
11619	5476	candida albicans
1162	5476	candida albicans
11622	5476	candida albicans
11625	5476	candida albicans
11626	5476	candida albicans
11628	5476	candida albicans
11629	5476	candida albicans
1163	5476	candida albicans
11644	5476	candida albicans
11646	5476	candida albicans
11647	5476	candida albicans
11648	5476	candida albicans
11649	5476	candida albicans
1165	5476	candida albicans
1166	5476	candida albicans
11660	5476	candida albicans
11662	5476	candida albicans
11665	5476	candida albicans
11666	5476	candida albicans
11667	5476	candida albicans
11670	5476	candida albicans
11671	5476	candida albicans
11673	5476	candida albicans
11674	5476	candida albicans
11675	5476	candida albicans
11677	5476	candida albicans
11678	5476	candida albicans
11679	5476	candida albicans
1168	5476	candida albicans
11683	5476	candida albicans
11686	5476	candida albicans
11687	5476	candida albicans
11694	5476	candida albicans
11695	5476	candida albicans
11697	5476	candida albicans
11698	5476	candida albicans
11700	5476	candida albicans
11702	5476	candida albicans
11703	5476	candida albicans
11709	5476	candida albicans
11711	5476	candida albicans
11714	5476	candida albicans
11715	5476	candida albicans
11719	5476	candida albicans
1172	5476	candida albicans
11721	5476	candida albicans
11722	5476	candida albicans
11723	5476	candida albicans
11728	5476	candida albicans
11730	5476	candida albicans
11735	5476	candida albicans
1174	5476	candida albicans
11741	5476	candida albicans
11743	5476	candida albicans
11747	5476	candida albicans
11749	5476	candida albicans
1175	5476	candida albicans
11751	5476	candida albicans
11753	5476	candida albicans
11755	5476	candida albicans
11757	5476	candida albicans
1176	5476	candida albicans
11767	5476	candida albicans
11768	5476	candida albicans
1177	5476	candida albicans
11771	5476	candida albicans
11773	5476	candida albicans
11774	5476	candida albicans
11776	5476	candida albicans
11778	5476	candida albicans
11780	5476	candida albicans
11783	5476	candida albicans
11784	5476	candida albicans
11789	5476	candida albicans
1179	5476	candida albicans
11793	5476	candida albicans
11794	5476	candida albicans
11797	5476	candida albicans
11798	5476	candida albicans
1180	5476	candida albicans
11800	5476	candida albicans
11801	5476	candida albicans
11803	5476	candida albicans
11805	5476	candida albicans
11806	5476	candida albicans
11808	5476	candida albicans
11809	5476	candida albicans
11813	5476	candida albicans
11814	5476	candida albicans
11818	5476	candida albicans
1182	5476	candida albicans
11822	5476	candida albicans
11823	5476	candida albicans
11824	5476	candida albicans
11825	5476	candida albicans
11826	5476	candida albicans
11831	5476	candida albicans
11832	5476	candida albicans
11833	5476	candida albicans
11836	5476	candida albicans
1184	5476	candida albicans
11840	5476	candida albicans
11841	5476	candida albicans
11842	5476	candida albicans
11844	5476	candida albicans
11845	5476	candida albicans
1185	5476	candida albicans
11854	5476	candida albicans
11856	5476	candida albicans
11860	5476	candida albicans
11869	5476	candida albicans
11871	5476	candida albicans
11872	5476	candida albicans
11876	5476	candida albicans
11877	5476	candida albicans
11881	5476	candida albicans
11882	5476	candida albicans
11883	5476	candida albicans
11888	5476	candida albicans
11889	5476	candida albicans
1189	5476	candida albicans
11892	5476	candida albicans
11894	5476	candida albicans
11895	5476	candida albicans
11897	5476	candida albicans
11898	5476	candida albicans
1190	5476	candida albicans
11905	5476	candida albicans
11906	5476	candida albicans
11907	5476	candida albicans
1191	5476	candida albicans
11910	5476	candida albicans
11913	5476	candida albicans
11915	5476	candida albicans
11919	5476	candida albicans
11920	5476	candida albicans
11921	5476	candida albicans
11922	5476	candida albicans
11923	5476	candida albicans
11925	5476	candida albicans
11927	5476	candida albicans
11929	5476	candida albicans
11933	5476	candida albicans
11938	5476	candida albicans
11940	5476	candida albicans
11944	5476	candida albicans
11946	5476	candida albicans
11947	5476	candida albicans
11949	5476	candida albicans
11952	5476	candida albicans
11953	5476	candida albicans
11955	5476	candida albicans
11961	5476	candida albicans
11963	5476	candida albicans
11965	5476	candida albicans
1197	5476	candida albicans
11970	5476	candida albicans
11977	5476	candida albicans
11982	5476	candida albicans
11983	5476	candida albicans
11984	5476	candida albicans
11985	5476	candida albicans
11986	5476	candida albicans
11987	5476	candida albicans
11988	5476	candida albicans
11989	5476	candida albicans
11991	5476	candida albicans
11992	5476	candida albicans
